"id","city","state","stateSlug","citySlug","country","pincode","currency","symbol","compliance","carriers","nodeType","dialingCode","timezone","latitude","longitude","landmark","carrierQuality","localSupport","population","mobileUsers","internetUsers","genderRatioText","malePercentage","femalePercentage","averageIncome","activeMobileDevices","mobilePenetration","internetPenetration","maleCount","femaleCount"
"guayas-province-guayaquil","Guayaquil","Guayas Province","guayas-province","guayaquil","Ecuador","090150","USD","$","ARCOTEL Rules","Conecel|Otecel|CNT","city_center","+593","America/Guayaquil","-1.9868","-77.3214","Guayaquil Metropolitan IT Corridor","Primary edge trunk terminated over Conecel networks. Failovers route over Otecel, CNT with active latency policing loops.","Remote regional support and carrier network coverage for Guayaquil, Ecuador","1200335","973471","782618","966 females per 1,000 males","50.9","49.1","$35,900 USD per annum","1512422","81.1","65.2","610971","589364"
"minas-gerais-belo-horizonte","Belo Horizonte","Minas Gerais","minas-gerais","belo-horizonte","Brazil","30000-000","BRL","R$","ANATEL Rules","Vivo|Claro|TIM","city_center","+55","America/Araguaina","-10.1564","-55.1664","Belo Horizonte Railway Station Chowk Node","Primary edge trunk terminated over Vivo networks. Failovers route over Claro, TIM with active latency policing loops.","Remote regional support and carrier network coverage for Belo Horizonte, Brazil","3816334","3354557","2854617","991 females per 1,000 males","50.2","49.8","R$37,454 BRL per annum","3892660","87.9","74.8","1915800","1900534"
"parana-curitiba","Curitiba","Parana","parana","curitiba","Brazil","80000-000","BRL","R$","ANATEL Rules","Vivo|Claro|TIM","city_center","+55","America/Araguaina","-9.8792","-54.9418","Curitiba District Secretariat Enclave","Primary edge trunk terminated over Vivo networks. Failovers route over Claro, TIM with active latency policing loops.","Remote regional support and carrier network coverage for Curitiba, Brazil","4914217","4309768","3803603","987 females per 1,000 males","50.3","49.7","R$21,954 BRL per annum","5405638","87.7","77.4","2471851","2442366"
"rio-grande-do-sul-porto-alegre","Porto Alegre","Rio Grande do Sul","rio-grande-do-sul","porto-alegre","Brazil","90000-000","BRL","R$","ANATEL Rules","Vivo|Claro|TIM","city_center","+55","America/Araguaina","-10.0563","-54.9184","Porto Alegre Commercial Market Circle","Primary edge trunk terminated over Vivo networks. Failovers route over Claro, TIM with active latency policing loops.","Remote regional support and carrier network coverage for Porto Alegre, Brazil","832237","739026","645815","958 females per 1,000 males","51.1","48.9","R$26,214 BRL per annum","990362","88.8","77.6","425273","406964"
"cordoba-province-cordoba","Cordoba","Cordoba Province","cordoba-province","cordoba","Argentina","X5000","ARS","$","ENACOM Guidelines","Personal|Movistar|Claro","city_center","+54","America/Argentina/Buenos_Aires","-34.0018","-63.9766","Cordoba Railway Station Chowk Node","Primary edge trunk terminated over Personal networks. Failovers route over Movistar, Claro with active latency policing loops.","Remote regional support and carrier network coverage for Cordoba, Argentina","3317312","2687022","2272358","1,005 females per 1,000 males","49.9","50.1","$41,338 ARS per annum","4312505","81","68.5","1655339","1661973"
"santa-fe-province-rosario","Rosario","Santa Fe Province","santa-fe-province","rosario","Argentina","S2000","ARS","$","ENACOM Guidelines","Personal|Movistar|Claro","city_center","+54","America/Argentina/Buenos_Aires","-33.923","-63.9218","Rosario Old Town Fort Gate Road","Primary edge trunk terminated over Personal networks. Failovers route over Movistar, Claro with active latency policing loops.","Remote regional support and carrier network coverage for Rosario, Argentina","3594899","2976576","2361848","976 females per 1,000 males","50.6","49.4","$40,710 ARS per annum","4457674","82.8","65.7","1819019","1775880"
"alexandria-governorate-alexandria","Alexandria","Alexandria Governorate","alexandria-governorate","alexandria","Egypt","21500","EGP","E£","NTRA Regulations","Vodafone|Orange|Etisalat|WE","city_center","+20","Africa/Cairo","26.8263","29.9035","Alexandria GPO Circle Square","Primary edge trunk terminated over Vodafone networks. Failovers route over Orange, Etisalat, WE with active latency policing loops.","Remote regional support and carrier network coverage for Alexandria, Egypt","1753768","1401260","1180285","958 females per 1,000 males","51.1","48.9","E£28,065 EGP per annum","2174672","79.9","67.3","896175","857593"
"capital-governorate-manama","Manama","Capital Governorate","capital-governorate","manama","Bahrain","302","BHD","BD","TRA Regulations","Batelco|Zain|stc","city_center","+973","Asia/Bahrain","26.0041","50.4373","Manama Industrial Growth Center","Primary edge trunk terminated over Batelco networks. Failovers route over Zain, stc with active latency policing loops.","Remote regional support and carrier network coverage for Manama, Bahrain","3183802","2527938","2018530","977 females per 1,000 males","50.6","49.4","BD38,760 BHD per annum","4329970","79.4","63.4","1611004","1572798"
"riyadh-region-riyadh","Riyadh","Riyadh Region","riyadh-region","riyadh","Saudi Arabia","11564","SAR","﷼","CITC Rules","STC|Mobily|Zain","city_center","+966","Asia/Riyadh","25.1945","45.0756","Riyadh GPO Circle Square","Primary edge trunk terminated over STC networks. Failovers route over Mobily, Zain with active latency policing loops.","Remote regional support and carrier network coverage for Riyadh, Saudi Arabia","3480156","2805005","2342144","974 females per 1,000 males","50.7","49.3","﷼21,314 SAR per annum","4489401","80.6","67.3","1764439","1715717"
"capital-region-reykjavik","Reykjavik","Capital Region","capital-region","reykjavik","Iceland","101","ISK","kr","GDPR / ECODEC","Siminn|Vodafone|Nova","city_center","+354","Atlantic/Reykjavik","65.17","-18.1818","Reykjavik Green Valley Digital Exchange","Primary edge trunk terminated over Siminn networks. Failovers route over Vodafone, Nova with active latency policing loops.","Remote regional support and carrier network coverage for Reykjavik, Iceland","4246118","3337448","2866129","971 females per 1,000 males","50.7","49.3","kr37,297 ISK per annum","5307647","78.6","67.5","2152782","2093336"
"capital-region-copenhagen","Copenhagen","Capital Region","capital-region","copenhagen","Denmark","1000","DKK","kr.","GDPR / SDFE","TDC|Telenor|Telia|3","city_center","+45","Europe/Copenhagen","55.9086","9.9832","Copenhagen Old Town Fort Gate Road","Primary edge trunk terminated over TDC networks. Failovers route over Telenor, Telia, 3 with active latency policing loops.","Remote regional support and carrier network coverage for Copenhagen, Denmark","4554002","3620431","2864467","957 females per 1,000 males","51.1","48.9","kr.44,454 DKK per annum","5829122","79.5","62.9","2327095","2226907"
"capital-governorate-kuwait-city","Kuwait City","Capital Governorate","capital-governorate","kuwait-city","Kuwait","13001","KWD","KD","CITRA Regulations","Zain|Ooredoo|stc","city_center","+965","Asia/Kuwait","29.4582","45.5831","Kuwait City Commercial Market Circle","Primary edge trunk terminated over Zain networks. Failovers route over Ooredoo, stc with active latency policing loops.","Remote regional support and carrier network coverage for Kuwait City, Kuwait","1874221","1478760","1182633","985 females per 1,000 males","50.4","49.6","KD28,315 KWD per annum","2530198","78.9","63.1","944607","929614"
"ad-dawhah-doha","Doha","Ad Dawhah","ad-dawhah","doha","Qatar","0000","QAR","QR","CRA Guidelines","Ooredoo|Vodafone","city_center","+974","Asia/Qatar","25.3534","51.2312","Doha Techno Park Terminal Hub","Primary edge trunk terminated over Ooredoo networks. Failovers route over Vodafone with active latency policing loops.","Remote regional support and carrier network coverage for Doha, Qatar","2185880","1757447","1374918","980 females per 1,000 males","50.5","49.5","QR38,441 QAR per annum","2994655","80.4","62.9","1103869","1082011"
"monaco-ville-monaco","Monaco","Monaco-Ville","monaco-ville","monaco","Monaco","98000","EUR","€","GDPR / CCIN","Monaco Telecom","city_center","+377","Europe/Monaco","43.8151","7.588","Monaco Commercial Market Circle","Primary edge trunk terminated over Monaco Telecom networks. Failovers route over local regional carriers with active latency policing loops.","Remote regional support and carrier network coverage for Monaco, Monaco","1694238","1374027","1067369","993 females per 1,000 males","50.2","49.8","€44,876 per annum","2270278","81.1","63","850507","843731"
"brunei-muara-bandar-seri-begawan","Bandar Seri Begawan","Brunei-Muara","brunei-muara","bandar-seri-begawan","Brunei Darussalam","BS8611","BND","B$","AITI Regulations","DST|Progresif|imagine","city_center","+673","Asia/Brunei","4.49","114.7524","Bandar Seri Begawan Municipal Office Plaza","Primary edge trunk terminated over DST networks. Failovers route over Progresif, imagine with active latency policing loops.","Remote regional support and carrier network coverage for Bandar Seri Begawan, Brunei Darussalam","3462801","2704447","2230043","973 females per 1,000 males","50.7","49.3","B$23,230 BND per annum","4224617","78.1","64.4","1755640","1707161"
"oslo-county-oslo","Oslo","Oslo County","oslo-county","oslo","Norway","0001","NOK","kr","GDPR / Nkom","Telenor|Telia|Ice","city_center","+47","Europe/Oslo","62.0836","9.9674","Oslo Telecom Exchange Square","Primary edge trunk terminated over Telenor networks. Failovers route over Telia, Ice with active latency policing loops.","Remote regional support and carrier network coverage for Oslo, Norway","2718094","2239709","1834713","1,010 females per 1,000 males","49.8","50.2","kr19,903 NOK per annum","3533522","82.4","67.5","1353611","1364483"
"luxembourg-canton-luxembourg-city","Luxembourg City","Luxembourg Canton","luxembourg-canton","luxembourg-city","Luxembourg","1009","EUR","€","GDPR / ILR","POST|Tango|Orange","city_center","+352","Europe/Luxembourg","49.6626","5.9796","Luxembourg City Municipal Office Plaza","Primary edge trunk terminated over POST networks. Failovers route over Tango, Orange with active latency policing loops.","Remote regional support and carrier network coverage for Luxembourg City, Luxembourg","2047703","1605399","1361722","961 females per 1,000 males","51","49","€51,338 per annum","2846307","78.4","66.5","1044329","1003374"
"federal-territory-kuala-lumpur","Kuala Lumpur","Federal Territory","federal-territory","kuala-lumpur","Malaysia","50000","MYR","RM","MCMC Guidelines","Maxis|CelcomDigi|U Mobile","city_center","+60","Asia/Kuala_Lumpur","2.3574","112.3714","Kuala Lumpur State Highway Crossing Terminal","Primary edge trunk terminated over Maxis networks. Failovers route over CelcomDigi, U Mobile with active latency policing loops.","Remote regional support and carrier network coverage for Kuala Lumpur, Malaysia","2548102","2091991","1656266","974 females per 1,000 males","50.7","49.3","RM29,115 MYR per annum","3439937","82.1","65","1291888","1256214"
"seoul-capital-area-seoul","Seoul","Seoul Capital Area","seoul-capital-area","seoul","South Korea","03000","KRW","₩","KCC Regulations","SK Telecom|KT|LG Uplus","city_center","+82","Asia/Seoul","37.1074","127.5263","Seoul Central Industrial Area Road","Primary edge trunk terminated over SK Telecom networks. Failovers route over KT, LG Uplus with active latency policing loops.","Remote regional support and carrier network coverage for Seoul, South Korea","2112963","1717838","1320601","987 females per 1,000 males","50.3","49.7","₩23,988 KRW per annum","2831370","81.3","62.5","1062820","1050143"
"vaduz-commune-vaduz","Vaduz","Vaduz Commune","vaduz-commune","vaduz","Liechtenstein","9490","CHF","CHF","GDPR / AK","Telecom Liechtenstein|Swisscom","city_center","+423","Europe/Vaduz","47.344","9.4918","Vaduz Civil Station Complex","Primary edge trunk terminated over Telecom Liechtenstein networks. Failovers route over Swisscom with active latency policing loops.","Remote regional support and carrier network coverage for Vaduz, Liechtenstein","4218295","3336671","2590033","991 females per 1,000 males","50.2","49.8","CHF29,982 CHF per annum","5821247","79.1","61.4","2117584","2100711"
"canton-of-bern-bern","Bern","Canton of Bern","canton-of-bern","bern","Switzerland","3000","CHF","CHF","Bakom Rules","Swisscom|Sunrise|Salt","city_center","+41","Europe/Zurich","46.8944","7.9193","Bern Metropolitan IT Corridor","Primary edge trunk terminated over Swisscom networks. Failovers route over Sunrise, Salt with active latency policing loops.","Remote regional support and carrier network coverage for Bern, Switzerland","2331960","1795609","1532097","951 females per 1,000 males","51.3","48.7","CHF21,803 CHF per annum","3264744","77","65.7","1196295","1135665"
"north-holland-amsterdam","Amsterdam","North Holland","north-holland","amsterdam","Netherlands","1000","EUR","€","GDPR / ACM","KPN|VodafoneZiggo|Odido","city_center","+31","Europe/Amsterdam","52.3886","5.8038","Amsterdam State Highway Crossing Terminal","Primary edge trunk terminated over KPN networks. Failovers route over VodafoneZiggo, Odido with active latency policing loops.","Remote regional support and carrier network coverage for Amsterdam, Netherlands","4525992","3485013","3009784","977 females per 1,000 males","50.6","49.4","€51,859 per annum","5702749","77","66.5","2290152","2235840"
"leinster-province-dublin","Dublin","Leinster Province","leinster-province","dublin","Ireland","D01","EUR","€","GDPR / ComReg","Vodafone|Three|Eir","city_center","+353","Europe/Dublin","52.9825","-7.8805","Dublin Municipal Office Plaza","Primary edge trunk terminated over Vodafone networks. Failovers route over Three, Eir with active latency policing loops.","Remote regional support and carrier network coverage for Dublin, Ireland","4980328","3839832","3252154","962 females per 1,000 males","51","49","€69,341 per annum","6673639","77.1","65.3","2539967","2440361"
"wellington-region-wellington","Wellington","Wellington Region","wellington-region","wellington","New Zealand","6011","NZD","NZ$","RSM Guidelines","One NZ|Spark|2degrees","city_center","+64","Pacific/Auckland","-40.8218","174.0335","Wellington State Highway Crossing Terminal","Primary edge trunk terminated over One NZ networks. Failovers route over Spark, 2degrees with active latency policing loops.","Remote regional support and carrier network coverage for Wellington, New Zealand","1916182","1536777","1314500","991 females per 1,000 males","50.2","49.8","NZ$18,385 NZD per annum","2414389","80.2","68.6","961923","954259"
"brussels-capital-brussels","Brussels","Brussels-Capital","brussels-capital","brussels","Belgium","1000","EUR","€","GDPR / BIPT","Proximus|Orange|Telenet","city_center","+32","Europe/Brussels","51.0229","4.0794","Brussels Old Town Fort Gate Road","Primary edge trunk terminated over Proximus networks. Failovers route over Orange, Telenet with active latency policing loops.","Remote regional support and carrier network coverage for Brussels, Belgium","1630594","1328934","1100650","994 females per 1,000 males","50.2","49.8","€55,712 per annum","2233913","81.5","67.5","818558","812036"
"community-of-madrid-madrid","Madrid","Community of Madrid","community-of-madrid","madrid","Spain","28001","EUR","€","GDPR / CNMC","Movistar|Orange|Vodafone|Yoigo","city_center","+34","Africa/Ceuta","39.8605","-4.1527","Madrid Railway Station Chowk Node","Primary edge trunk terminated over Movistar networks. Failovers route over Orange, Vodafone, Yoigo with active latency policing loops.","Remote regional support and carrier network coverage for Madrid, Spain","1704078","1412680","1131507","990 females per 1,000 males","50.3","49.7","€45,237 per annum","2368668","82.9","66.4","857151","846927"
"stockholm-county-stockholm","Stockholm","Stockholm County","stockholm-county","stockholm","Sweden","103 16","SEK","kr","GDPR / PTS","Telia|Tele2|Telenor|3","city_center","+46","Europe/Stockholm","62.1825","15.0802","Stockholm Civil Station Complex","Primary edge trunk terminated over Telia networks. Failovers route over Tele2, Telenor, 3 with active latency policing loops.","Remote regional support and carrier network coverage for Stockholm, Sweden","2884821","2339589","1990526","1,000 females per 1,000 males","50","50","kr28,268 SEK per annum","3519481","81.1","69","1442411","1442411"
"andorra-parish-andorra-la-vella","Andorra la Vella","Andorra Parish","andorra-parish","andorra-la-vella","Andorra","AD500","EUR","€","GDPR / APDA","Andorra Telecom","city_center","+376","Europe/Andorra","42.6112","1.657","Andorra la Vella Railway Station Chowk Node","Primary edge trunk terminated over Andorra Telecom networks. Failovers route over local regional carriers with active latency policing loops.","Remote regional support and carrier network coverage for Andorra la Vella, Andorra","4656477","3594800","2942893","994 females per 1,000 males","50.2","49.8","€48,886 per annum","6099984","77.2","63.2","2337551","2318926"
"muscat-governorate-muscat","Muscat","Muscat Governorate","muscat-governorate","muscat","Oman","100","OMR","R.O.","TRA Guidelines","Omantel|Ooredoo|Vodafone","city_center","+968","Asia/Muscat","21.057","57.1179","Muscat Central Industrial Area Road","Primary edge trunk terminated over Omantel networks. Failovers route over Ooredoo, Vodafone with active latency policing loops.","Remote regional support and carrier network coverage for Muscat, Oman","818304","648096","511440","994 females per 1,000 males","50.2","49.8","R.O.41,805 OMR per annum","1112893","79.2","62.5","410789","407515"
"vienna-state-vienna","Vienna","Vienna State","vienna-state","vienna","Austria","1010","EUR","€","GDPR / RTR","A1|Magenta Telekom|Drei","city_center","+43","Europe/Vienna","47.4344","13.3488","Vienna Green Valley Digital Exchange","Primary edge trunk terminated over A1 networks. Failovers route over Magenta Telekom, Drei with active latency policing loops.","Remote regional support and carrier network coverage for Vienna, Austria","1442845","1122533","907549","986 females per 1,000 males","50.4","49.6","€57,379 per annum","1890126","77.8","62.9","727194","715651"
"new-providence-nassau","Nassau","New Providence","new-providence","nassau","Bahamas","00000","BSD","B$","URCA Regulations","Aliv|BTC","city_center","+1","America/Nassau","24.2623","-76.1339","Nassau District Secretariat Enclave","Primary edge trunk terminated over Aliv networks. Failovers route over BTC with active latency policing loops.","Remote regional support and carrier network coverage for Nassau, Bahamas","3153562","2544924","2109732","967 females per 1,000 males","50.8","49.2","B$30,386 BSD per annum","3815810","80.7","66.9","1602009","1551553"
"santiago-metropolitan-santiago","Santiago","Santiago Metropolitan","santiago-metropolitan","santiago","Chile","8320000","CLP","$","SUBTEL Guidelines","Entel|Movistar|WOM|Claro","city_center","+56","America/Punta_Arenas","-30.0946","-70.873","Santiago GPO Circle Square","Primary edge trunk terminated over Entel networks. Failovers route over Movistar, WOM, Claro with active latency policing loops.","Remote regional support and carrier network coverage for Santiago, Chile","4396022","3560777","2918958","961 females per 1,000 males","51","49","$19,990 CLP per annum","6110470","81","66.4","2241971","2154051"
"central-federal-district-moscow","Moscow","Central Federal District","central-federal-district","moscow","Russia","101000","RUB","₽","Roskomnadzor Rules","MTS|MegaFon|Beeline|Tele2","city_center","+7","Asia/Anadyr","59.8992","100.1311","Moscow GPO Circle Square","Primary edge trunk terminated over MTS networks. Failovers route over MegaFon, Beeline, Tele2 with active latency policing loops.","Remote regional support and carrier network coverage for Moscow, Russia","4255489","3676742","3289492","972 females per 1,000 males","50.7","49.3","₽22,780 RUB per annum","4936367","86.4","77.3","2157533","2097956"
"minsk-region-minsk","Minsk","Minsk Region","minsk-region","minsk","Belarus","220000","BYN","Br","OAC Regulations","A1|MTS|life:)","city_center","+375","Europe/Minsk","53.1937","27.8881","Minsk Railway Station Chowk Node","Primary edge trunk terminated over A1 networks. Failovers route over MTS, life:) with active latency policing loops.","Remote regional support and carrier network coverage for Minsk, Belarus","4024222","3195232","2587574","1,002 females per 1,000 males","50","50","Br20,671 BYN per annum","5191246","79.4","64.3","2012111","2012111"
"central-hungary-budapest","Budapest","Central Hungary","central-hungary","budapest","Hungary","1011","EUR","€","GDPR / NMHH","Yettel|Telekom|Vodafone","city_center","+36","Europe/Budapest","47.1894","20.1897","Budapest Railway Station Chowk Node","Primary edge trunk terminated over Yettel networks. Failovers route over Telekom, Vodafone with active latency policing loops.","Remote regional support and carrier network coverage for Budapest, Hungary","1092655","869753","745190","982 females per 1,000 males","50.5","49.5","€47,148 per annum","1518790","79.6","68.2","551791","540864"
"uusimaa-helsinki","Helsinki","Uusimaa","uusimaa","helsinki","Finland","00100","EUR","€","GDPR / Traficom","Elisa|Telia|DNA","city_center","+358","Europe/Helsinki","64.1958","26.1446","Helsinki Green Valley Digital Exchange","Primary edge trunk terminated over Elisa networks. Failovers route over Telia, DNA with active latency policing loops.","Remote regional support and carrier network coverage for Helsinki, Finland","2830199","2213215","1941516","984 females per 1,000 males","50.4","49.6","€49,499 per annum","3481144","78.2","68.6","1426420","1403779"
"astana-region-astana","Astana","Astana Region","astana-region","astana","Kazakhstan","010000","KZT","₸","ICRIAP Rules","Kcell|Beeline|Tele2","city_center","+7","Asia/Almaty","48.0706","67.8056","Astana Telecom Exchange Square","Primary edge trunk terminated over Kcell networks. Failovers route over Beeline, Tele2 with active latency policing loops.","Remote regional support and carrier network coverage for Astana, Kazakhstan","3043914","2508185","1856787","976 females per 1,000 males","50.6","49.4","₸27,641 KZT per annum","3987527","82.4","61","1540220","1503694"
"riga-municipality-riga","Riga","Riga Municipality","riga-municipality","riga","Latvia","LV-1050","EUR","€","GDPR / SPRK","LMT|Tele2|Bite","city_center","+371","Europe/Riga","57.034","24.8582","Riga GPO Circle Square","Primary edge trunk terminated over LMT networks. Failovers route over Tele2, Bite with active latency policing loops.","Remote regional support and carrier network coverage for Riga, Latvia","4826259","3778960","3127415","961 females per 1,000 males","51","49","€53,508 per annum","6274136","78.3","64.8","2461392","2364867"
"amman-governorate-amman","Amman","Amman Governorate","amman-governorate","amman","Jordan","11118","JOD","JD","TRC Regulations","Zain|Orange|U通","city_center","+962","Asia/Amman","30.8367","35.9776","Amman Telecom Exchange Square","Primary edge trunk terminated over Zain networks. Failovers route over Orange, U通 with active latency policing loops.","Remote regional support and carrier network coverage for Amman, Jordan","878095","718281","575152","1,010 females per 1,000 males","49.8","50.2","JD40,751 JOD per annum","1211771","81.8","65.5","437291","440804"
"harju-county-tallinn","Tallinn","Harju County","harju-county","tallinn","Estonia","10111","EUR","€","GDPR / TTJA","Telia|Elisa|Tele2","city_center","+372","Europe/Tallinn","58.8192","25.8847","Tallinn State Highway Crossing Terminal","Primary edge trunk terminated over Telia networks. Failovers route over Elisa, Tele2 with active latency policing loops.","Remote regional support and carrier network coverage for Tallinn, Estonia","2706492","2127302","1688851","976 females per 1,000 males","50.6","49.4","€50,219 per annum","3328985","78.6","62.4","1369485","1337007"
"south-eastern-region-valletta","Valletta","South Eastern Region","south-eastern-region","valletta","Malta","VLT 1115","EUR","€","GDPR / MCA","Epic|GO|Melita","city_center","+356","Europe/Malta","35.8347","14.7816","Valletta GPO Circle Square","Primary edge trunk terminated over Epic networks. Failovers route over GO, Melita with active latency policing loops.","Remote regional support and carrier network coverage for Valletta, Malta","1109874","902327","712539","973 females per 1,000 males","50.7","49.3","€63,598 per annum","1398441","81.3","64.2","562706","547168"
"beijing-municipality-beijing","Beijing","Beijing Municipality","beijing-municipality","beijing","China","100000","CNY","¥","MIIT Regulations","China Mobile|China Unicom|China Telecom","city_center","+86","Asia/Shanghai","35.1609","104.9445","Beijing Railway Station Chowk Node","Primary edge trunk terminated over China Mobile networks. Failovers route over China Unicom, China Telecom with active latency policing loops.","Remote regional support and carrier network coverage for Beijing, China","9923092","9218552","7134703","1,002 females per 1,000 males","50","50","¥34,602 CNY per annum","10716939","92.9","71.9","4961546","4961546"
"montevideo-department-montevideo","Montevideo","Montevideo Department","montevideo-department","montevideo","Uruguay","11000","UYU","$U","URSEC Guidelines","Antel|Movistar|Claro","city_center","+598","America/Montevideo","-32.8051","-56.0877","Montevideo Techno Park Terminal Hub","Primary edge trunk terminated over Antel networks. Failovers route over Movistar, Claro with active latency policing loops.","Remote regional support and carrier network coverage for Montevideo, Uruguay","1431034","1140534","877223","972 females per 1,000 males","50.7","49.3","$U37,471 UYU per annum","1803102","79.7","61.3","725534","705500"
"bucharest-municipality-bucharest","Bucharest","Bucharest Municipality","bucharest-municipality","bucharest","Romania","010011","RON","lei","GDPR / ANCOM","Orange|Vodafone|Digi.Mobil","city_center","+40","Europe/Bucharest","46.0218","25.1064","Bucharest Techno Park Terminal Hub","Primary edge trunk terminated over Orange networks. Failovers route over Vodafone, Digi.Mobil with active latency policing loops.","Remote regional support and carrier network coverage for Bucharest, Romania","4880071","3830855","3289167","963 females per 1,000 males","50.9","49.1","lei43,204 RON per annum","6783298","78.5","67.4","2483956","2396115"
"nicosia-district-nicosia","Nicosia","Nicosia District","nicosia-district","nicosia","Cyprus","1010","EUR","€","GDPR / OCECPR","Cyta|Epic|Cablenet","city_center","+357","Asia/Famagusta","35.1982","32.9723","Nicosia State Highway Crossing Terminal","Primary edge trunk terminated over Cyta networks. Failovers route over Epic, Cablenet with active latency policing loops.","Remote regional support and carrier network coverage for Nicosia, Cyprus","4320495","3443434","2795360","997 females per 1,000 males","50.1","49.9","€52,635 per annum","5919078","79.7","64.7","2164568","2155927"
"national-district-santo-domingo","Santo Domingo","National District","national-district","santo-domingo","Dominican Republic","10100","DOP","RD$","INDOTEL Rules","Claro|Altice","city_center","+1","America/Santo_Domingo","19.1604","-70.5983","Santo Domingo Railway Station Chowk Node","Primary edge trunk terminated over Claro networks. Failovers route over Altice with active latency policing loops.","Remote regional support and carrier network coverage for Santo Domingo, Dominican Republic","3614090","2999694","2464809","980 females per 1,000 males","50.5","49.5","RD$28,947 DOP per annum","4987444","83","68.2","1825115","1788975"
"rabat-sale-kenitra-rabat","Rabat","Rabat-Salé-Kénitra","rabat-sale-kenitra","rabat","Morocco","10000","MAD","DH","ANRT Guidelines","Maroc Telecom|Orange|inwi","city_center","+212","Africa/Casablanca","31.8834","-5.1528","Rabat Municipal Office Plaza","Primary edge trunk terminated over Maroc Telecom networks. Failovers route over Orange, inwi with active latency policing loops.","Remote regional support and carrier network coverage for Rabat, Morocco","724854","598004","474779","995 females per 1,000 males","50.1","49.9","DH31,282 MAD per annum","927813","82.5","65.5","363152","361702"
"bangkok-metropolitan-bangkok","Bangkok","Bangkok Metropolitan","bangkok-metropolitan","bangkok","Thailand","10100","THB","฿","NBTC Guidelines","AIS|TrueMove H","city_center","+66","Asia/Bangkok","15.1084","99.9292","Bangkok State Highway Crossing Terminal","Primary edge trunk terminated over AIS networks. Failovers route over TrueMove H with active latency policing loops.","Remote regional support and carrier network coverage for Bangkok, Thailand","1587390","1233402","1003230","985 females per 1,000 males","50.4","49.6","฿21,186 THB per annum","1952489","77.7","63.2","800045","787345"
"ljubljana-province-ljubljana","Ljubljana","Ljubljana Province","ljubljana-province","ljubljana","Slovenia","1000","EUR","€","GDPR / AKOS","Telekom Slovenije|A1|Telemach","city_center","+386","Europe/Ljubljana","46.0262","14.7111","Ljubljana Central Industrial Area Road","Primary edge trunk terminated over Telekom Slovenije networks. Failovers route over A1, Telemach with active latency policing loops.","Remote regional support and carrier network coverage for Ljubljana, Slovenia","2385226","1929647","1543241","993 females per 1,000 males","50.2","49.8","€52,525 per annum","2909975","80.9","64.7","1197383","1187843"
"bratislava-region-bratislava","Bratislava","Bratislava Region","bratislava-region","bratislava","Slovakia","811 01","EUR","€","GDPR / RU","Orange|Slovak Telekom|O2|4ka","city_center","+421","Europe/Bratislava","48.7915","19.6576","Bratislava Railway Station Chowk Node","Primary edge trunk terminated over Orange networks. Failovers route over Slovak Telekom, O2, 4ka with active latency policing loops.","Remote regional support and carrier network coverage for Bratislava, Slovakia","4561247","3694610","2809728","975 females per 1,000 males","50.6","49.4","€56,115 per annum","6020846","81","61.6","2307991","2253256"
"capital-federal-buenos-aires","Buenos Aires","Capital Federal","capital-federal","buenos-aires","Argentina","C1001","ARS","$","ENACOM Guidelines","Personal|Movistar|Claro","city_center","+54","America/Argentina/Buenos_Aires","-34.1462","-64.0674","Buenos Aires Metropolitan IT Corridor","Primary edge trunk terminated over Personal networks. Failovers route over Movistar, Claro with active latency policing loops.","Remote regional support and carrier network coverage for Buenos Aires, Argentina","3307293","2616068","2057136","983 females per 1,000 males","50.4","49.6","$24,943 ARS per annum","4431772","79.1","62.2","1666876","1640417"
"surrey-county-kingston","Kingston","Surrey County","surrey-county","kingston","Jamaica","0000","JMD","J$","OUR Regulations","Flow|Digicel","city_center","+1","America/Jamaica","18.4099","-77.5493","Kingston State Highway Crossing Terminal","Primary edge trunk terminated over Flow networks. Failovers route over Digicel with active latency policing loops.","Remote regional support and carrier network coverage for Kingston, Jamaica","2208875","1780353","1387173","956 females per 1,000 males","51.1","48.9","J$18,708 JMD per annum","2915715","80.6","62.8","1128735","1080140"
"lazio-region-rome","Rome","Lazio Region","lazio-region","rome","Italy","00187","EUR","€","GDPR / AGCOM","WindTre|TIM|Vodafone|iliad","city_center","+39","Europe/Rome","43.0327","12.8711","Rome Green Valley Digital Exchange","Primary edge trunk terminated over WindTre networks. Failovers route over TIM, Vodafone, iliad with active latency policing loops.","Remote regional support and carrier network coverage for Rome, Italy","1518098","1208406","1027752","1,009 females per 1,000 males","49.8","50.2","€67,239 per annum","1973527","79.6","67.7","756013","762085"
"tashkent-city-tashkent","Tashkent","Tashkent City","tashkent-city","tashkent","Uzbekistan","100000","UZS","so'm","MITC Rules","Ucell|Beeline|UMS","city_center","+998","Asia/Samarkand","41.16","64.1598","Tashkent Civil Station Complex","Primary edge trunk terminated over Ucell networks. Failovers route over Beeline, UMS with active latency policing loops.","Remote regional support and carrier network coverage for Tashkent, Uzbekistan","1711461","1364034","1083354","1,004 females per 1,000 males","49.9","50.1","so'm40,656 UZS per annum","2139326","79.7","63.3","854019","857442"
